title,content,source,publishedAt,url,Overall Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
BRIEF-Contango Oil Files For Offering Up To 6.2 Mln Shares Of Common Stock By Selling Stockholders - Reuters,"June 26 (Reuters) - Contango Oil &amp; Gas Co (Texas): 
* CONTANGO OIL &amp; GAS CO (TEXAS) FILES FOR OFFERING UP TO 6.2 MILLION SHARES OF COMMON STOCK BY THE SELLING STOCKHOLDERS - SEC FILING Sourc… [+48 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-26 10:28:00,https://www.reuters.com/article/brief-contango-oil-files-for-offering-up-idUSFWN2E215I,0,0.0,1.0,0.0
"As the bike shortage endures, Dick's Sporting Goods has some on sale","TL;DR:Bikes are still on sale at Dick's Sporting Goods  save up to $70 on men's, women's, and children's bikes from Schwinn, Nishiki, and GT.
Toilet paper and hand sanitizer weren't the only things … [+732 chars]","{'id': 'mashable', 'name': 'Mashable'}",2020-06-26 15:05:47,https://mashable.com/shopping/june-26-bikes-in-stock-on-sale/,-1,0.0,0.0,1.0
Dow slides more than 500 points as the economic outlook gets drearier,,"{'id': 'cnn', 'name': 'CNN'}",2020-06-26 15:09:15,https://www.cnn.com/2020/06/26/investing/dow-stock-market-today/index.html,0,0.06,0.8,0.14
Gap will sell Kanye West's Yeezy line. The news sent its stock soaring,,"{'id': 'cnn', 'name': 'CNN'}",2020-06-26 17:48:58,https://www.cnn.com/2020/06/26/investing/yeezy-gap-kanye-west/index.html,0,0.1,0.72,0.18
"Zimbabwe suspends stock exchange, mobile payments over 'economic sabotage' - Reuters","HARARE, June 26 (Reuters) - Zimbabwe on Friday suspended trade on the stock exchange and mobile phone-based payments to address what President Emmerson Mnangagwa’s government called “criminality and … [+1427 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-26 19:17:00,https://www.reuters.com/article/zimbabwe-economy-idUSL8N2E35B1,0,0.0,0.51,0.49
BRIEF-Precipio Inc Files For Potential Sale Of 4.5 Mln Shares Of Common Stock By Selling Stockholders - Reuters,"June 26 (Reuters) - Precipio Inc: 
* PRECIPIO INC FILES FOR POTENTIAL SALE OF 4.5 MILLION SHARES OF COMMON STOCK BY SELLING STOCKHOLDERS - SEC FILING Source text: [bit.ly/2Vp82pA] Further company co… [+42 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-26 22:24:00,https://uk.reuters.com/article/brief-precipio-inc-files-for-potential-s-idUKFWN2E30L9,0,0.0,0.99,0.01
BRIEF-Larimar Therapeutics Inc Files For Stock Shelf Of Upto $170.9 Mln By Selling Stockholders - Reuters,"June 26 (Reuters) - Larimar Therapeutics Inc: 
* LARIMAR THERAPEUTICS INC FILES FOR STOCK SHELF OF UPTO $170.9 MILLION BY SELLING STOCKHOLDERS Source text: [bit.ly/386oRuK] Further company coverage:… [+35 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-26 22:34:00,https://uk.reuters.com/article/brief-larimar-therapeutics-inc-files-for-idUKFWN2E30U9,0,0.0,1.0,0.0
BRIEF-Larimar Therapeutics Inc Files For Stock Shelf Of Upto $170.9 Mln By Selling Stockholders - Reuters,"June 26 (Reuters) - Larimar Therapeutics Inc: 
* LARIMAR THERAPEUTICS INC FILES FOR STOCK SHELF OF UPTO $170.9 MILLION BY SELLING STOCKHOLDERS Source text: [bit.ly/386oRuK] Further company coverage:… [+35 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-26 22:34:00,https://www.reuters.com/article/brief-larimar-therapeutics-inc-files-for-idUSFWN2E30U9,0,0.0,1.0,0.0
"Gunmen attack Pakistani stock exchange, four killed - police - Reuters","KARACHI, Pakistan (Reuters) - Gunmen attacked the Pakistani stock exchange building in the city of Karachi on Monday and four assailants were killed, police said. 
The gunmen attacked the building w… [+386 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-29 06:03:00,https://www.reuters.com/article/us-pakistan-attacks-idUSKBN2400IS,-1,0.0,0.0,1.0
Gunmen attack Pakistani stock exchange in Karachi,"Gunmen have attacked the Pakistani stock exchange in the southern city of Karachi, killing at least two people and injuring others, local media report.
The assailants stormed the building after laun… [+514 chars]","{'id': 'bbc-news', 'name': 'BBC News'}",2020-06-29 06:14:44,https://www.bbc.co.uk/news/world-asia-53217227,-1,0.02,0.09,0.89
Brockhaus Capital Management to list on Frankfurt stock exchange - Reuters,"FRANKFURT, June 29 (Reuters) - German private equity investor Brockhaus Capital Management (BCM) is planning to list on the Frankfurt stock exchange in the third quarter, it said on Monday. 
Brockha… [+653 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-29 08:18:00,https://www.reuters.com/article/brockhaus-ipo-idUSASN0008O4,0,0.01,0.98,0.01
Gunmen attack Pakistani stock exchange - Reuters Canada,"Posted 
The gunmen attacked the building, which is in a high security zone that also houses the head offices of many private banks, with grenades and guns, said Ghulam Nabi Memon, chief of police in… [+46 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-29 08:24:36,https://www.reuters.com/video/watch/idOVCKFI05D,-1,0.02,0.14,0.84
Deutsche Boerse to study revising DAX membership rules in wake of Wirecard - Reuters,"FRANKFURT (Reuters) - German stock exchange operator Deutsche Boerse (DB1Gn.DE) said on Monday that it was studying revisions to membership rules for Germany’s premier stock market index, the DAX, in… [+257 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-29 11:58:00,https://www.reuters.com/article/us-deutsche-boerse-dax-idUSKBN2401F0,0,0.02,0.97,0.01
BRIEF-Liquidia Announces Proposed Offering Of Common Stock - Reuters,"June 29 (Reuters) - Liquidia Technologies Inc: 
* LIQUIDIA ANNOUNCES PROPOSED OFFERING OF COMMON STOCK Source text for Eikon: Further company coverage:","{'id': 'reuters', 'name': 'Reuters'}",2020-06-29 21:14:00,https://www.reuters.com/article/brief-liquidia-announces-proposed-offeri-idUSASA00VAL,0,0.0,0.99,0.01
BRIEF-Liquidia Announces Pricing Of Public Offering Of Common Stock - Reuters.com,"June 29 (Reuters) - Liquidia Technologies Inc: 
* LIQUIDIA ANNOUNCES PRICING OF PUBLIC OFFERING OF COMMON STOCK 
* ANNOUNCED PRICING OF UNDERWRITTEN PUBLIC OFFERING OF 9.375 MILLION SHARES OF ITS S… [+93 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-30 02:39:00,https://www.reuters.com/article/brief-liquidia-announces-pricing-of-publ-idUSASA00VC8,0,0.0,0.99,0.01
BRIEF-Healthcare Approves Change In Company's Common Stock Dividend Policy - Reuters,"June 30 (Reuters) - Healthcare Trust Inc: 
* HEALTHCARE TRUST INC - APPROVED A CHANGE IN COMPANY’S COMMON STOCK DIVIDEND POLICY 
* HEALTHCARE TRUST INC - WILL NO LONGER DECLARE DIVIDENDS BASED ON D… [+205 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-06-30 21:55:00,https://www.reuters.com/article/brief-healthcare-approves-change-in-comp-idUSFWN2E711H,0,0.01,0.98,0.01
BRIEF-Acceleron Announces Pricing Of Public Offering Of Common Stock - Reuters,"June 30 (Reuters) - Acceleron Pharma Inc: 
* ACCELERON ANNOUNCES PRICING OF PUBLIC OFFERING OF COMMON STOCK 
* SAYS PUBLIC OFFERING OF 4.86 MILLION COMMON SHARES PRICED AT $92.50PER SHARE Source te… [+74 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-07-01 00:10:00,https://www.reuters.com/article/brief-acceleron-announces-pricing-of-pub-idUSASA00VIK,0,0.0,0.99,0.01
BRIEF-Avita Medical Says Co's U.S. Shares Of Common Stock Commenced Trading On Nasdaq Stock Market - Reuters,"July 1 (Reuters) - Avita Medical Ltd: 
* AVITA US’S SHARES OF COMMON STOCK COMMENCED TRADING ON NASDAQ STOCK MARKET LLC Source text nASX7pTdDY Further company coverage:","{'id': 'reuters', 'name': 'Reuters'}",2020-07-01 01:40:00,https://www.reuters.com/article/brief-avita-medical-says-cos-us-shares-o-idUSFWN2E712B,0,0.0,0.98,0.02
"German stock trading platform Xetra down, all securities affected - Reuters","LONDON (Reuters) - Frankfurt-based electronic trading system Xetra was experiencing a “technical issue”, affecting all securities traded on the platform, a Deutsche Boerse spokesman said on Wednesday… [+1026 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-07-01 08:38:00,https://www.reuters.com/article/us-germany-stocks-xetra-idUSKBN2424YE,0,0.0,0.99,0.01
BRIEF-Adapthealth Corp. Announces Pricing Of Upsized Public Offering Of Class A Common Stock - Reuters UK,"July 1 (Reuters) - Adapthealth Corp: 
* ADAPTHEALTH CORP. ANNOUNCES PRICING OF UPSIZED PUBLIC OFFERING OF CLASS A COMMON STOCK 
* ADAPTHEALTH CORP - PRICED PUBLIC OFFERING OF 8 MILLION SHARES OF CL… [+86 chars]","{'id': 'reuters', 'name': 'Reuters'}",2020-07-01 11:42:00,https://uk.reuters.com/article/brief-adapthealth-corp-announces-pricing-idUKASA00VK1,0,0.0,0.99,0.01
Everything You Need to Watch Netflix in 4K on Your Mac,"Several Mac desktops and laptops have all the hardware they need to stream 4K HDR video from services like Netflix, but theyve been hamstrung by Safaris limited video codec support. Luckily, Apple is… [+1598 chars]","{'id': None, 'name': 'Lifehacker.com'}",2020-07-01 13:00:00,https://lifehacker.com/everything-you-need-to-watch-netflix-in-4k-on-your-mac-1844222310,0,0.35,0.64,0.01
Tesla becomes most valuable automaker in latest stock rally - Reuters,(Reuters) - Tesla Inc on Wednesday became the highest-valued automaker as its shares surged to new record highs and the electric carmaker’s market cap overtook that of former front runner Toyota Moto… [+102 chars],"{'id': 'reuters', 'name': 'Reuters'}",2020-07-01 14:48:00,https://www.reuters.com/article/us-tesla-shares-idUSKBN2426E8,1,0.94,0.06,0.0
Stock surge makes Tesla the world’s most valuable automaker,"0 with 0 posters participating
One share of Tesla stock traded for more than $1,130 on Wednesday, pushing the company's market capitalization to nearly $210 billion. That sent Tesla's market cap pas… [+3646 chars]","{'id': 'ars-technica', 'name': 'Ars Technica'}",2020-07-01 15:37:01,https://arstechnica.com/cars/2020/07/stock-surge-makes-tesla-the-worlds-most-valuable-automaker/,1,0.98,0.02,0.0
These were the 10 most popular stocks on Robinhood in the month of June,"Getty Images / Scott Olson<ul><li>Robinhood, the zero-commission brokerage platform that is popular with millenials, has seen a surge in trading volume as the market entered a volatile period due to … [+6397 chars]","{'id': 'business-insider', 'name': 'Business Insider'}",2020-07-01 17:54:15,https://markets.businessinsider.com/news/stocks/robinhood-stocks-most-widely-owned-bought-held-june-traders-popular-2020-7-1029360312,0,0.31,0.65,0.04
These were the 10 most popular stocks on Robinhood in the month of June,"<ul><li>Robinhood, the zero-commission brokerage platform that is popular with millenials, has seen a surge in trading volume as the market entered a volatile period due to the coronavirus pandemic.<… [+2054 chars]","{'id': 'business-insider', 'name': 'Business Insider'}",2020-07-01 17:54:15,https://www.businessinsider.com/robinhood-stocks-most-widely-owned-bought-held-june-traders-popular-2020-7,0,0.31,0.65,0.04
BRIEF-BioLife Solutions Announces Proposed Public Offering Of Common Stock - Reuters,"July 1 (Reuters) - Biolife Solutions Inc: 
* BIOLIFE SOLUTIONS ANNOUNCES PROPOSED PUBLIC OFFERING OF COMMON STOCK Source text for Eikon: Further company coverage:","{'id': 'reuters', 'name': 'Reuters'}",2020-07-01 20:27:00,https://www.reuters.com/article/brief-biolife-solutions-announces-propos-idUSASA00VMX,0,0.0,1.0,0.0
